cgpa,resume_score,placed
7.9,4.8,0
7.39,6.0,1
8.02,6.09,1
8.72,5.54,1
7.31,6.31,1
7.31,6.98,1
8.76,8.76,1
8.11,6.71,1
7.12,6.81,1
7.93,6.41,1
7.13,4.2,0
7.13,6.47,1
7.69,6.57,1
5.97,9.46,1
6.12,6.27,0
7.05,6.86,1
6.69,6.46,0
7.75,5.1,1
6.77,7.87,1
6.37,7.4,1
8.67,7.45,1
7.32,5.41,1
7.55,8.18,1
6.36,4.82,0
7.06,7.2,1
7.59,9.13,1
6.58,5.31,0
7.8,5.82,1
7.02,6.62,1
7.27,5.9,1
7.02,4.64,0
8.98,6.58,1
7.49,5.23,0
6.65,7.07,1
8.16,5.4,1
6.52,8.36,1
7.67,5.56,1
5.93,6.11,1
6.44,7.48,1
7.66,5.02,1
8.09,6.77,1
7.64,8.07,1
7.41,4.57,1
7.26,6.72,1
6.32,6.81,0
6.92,7.44,1
7.13,5.02,1
8.35,4.92,1
7.77,7.13,1
6.09,6.86,0
7.76,6.8,1
7.19,6.92,1
6.96,5.68,1
7.99,6.78,1
8.32,6.85,1
8.25,5.64,1
6.83,8.74,1
7.25,7.07,1
7.77,5.07,1
8.28,7.29,1
7.12,5.33,0
7.35,7.44,1
6.61,7.89,1
6.54,5.52,0
8.15,7.66,1
8.58,7.0,1
7.44,7.49,1
8.3,8.78,1
7.79,6.21,1
6.98,5.6,1
7.79,5.43,1
8.73,5.52,1
7.47,6.41,1
8.75,6.91,1
5.4,6.83,0
8.16,7.49,1
7.57,6.52,1
7.26,8.24,1
7.57,6.18,1
5.91,9.76,1
7.32,7.25,1
7.79,5.47,1
8.68,5.21,1
7.09,7.08,1
6.85,6.23,1
7.1,7.36,1
8.23,7.07,1
7.76,6.41,1
7.08,5.48,1
7.91,4.68,1
7.58,5.96,1
8.27,7.53,1
6.94,6.76,1
7.24,5.01,1
7.19,6.71,0
6.33,6.96,1
7.74,5.44,1
7.71,6.68,1
7.5,6.57,1
7.31,5.13,1
